calisma_sekli,departman,egitim,genel_nit_is_tanimi,ilan_baslik,label,sehir,sektor,sirket_adi,tecrube
,,,"Üniversitelerin Makina, Çevre, Kimya, Elektrik Mühendisliği Bölümünden mezun,,Çalışma ve Sosyal Güvenlik Bakanlığı tarafından verilen B sınıfı İSG Uzmanılığı belgesine sahip,,Üretim sektöründe en az 5 yıl tecrübeli, tercihen çevre ve atık yönetimi mevzuatına hakim,,İSG mevzuatına ve uluslararası uygulamalarını bilen,,MS Office iyi derecede kullanabilen,,Disiplinli, sistemli ve raporlu çalışmayı benimseyen,,İngilizce bilen, takım çalışmasına yatkın,,Erkek adaylar için askerlik görevini tamamlamış olan,,İŞ TANIMI,Fabrikada yapılan çalışmalar ve revizyonlar kapsamında, tasarım, makine ve diğer teçhizatların durumu, bakımı, seçimi ve kullanılan maddelerin İSG açısından uyumunun değerlendirilmesi,KKD’ların seçimi, temini, kullanımı, bakımı ve test edilmesi için işverene önerilerde bulunmak,İş sağlığı ve güvenliğiyle ilgili alınması gereken tedbirleri işverene yazılı olarak bildirmek.,Olay/ Kaza / Ramak Kala / Meslek hastalıklarının kök nedenlerinin araştırmasını yapmak, düzenleyici ve önleyici faaliyetleri planlamak.,İş sağlığı ve güvenliği yönünden risk değerlendirmesi yapılmasıyla ilgili çalışmalara ve uygulanmasına katılmak, risk değerlendirmesi sonucunda alınması gereken sağlık ve güvenlik önlemleri konusunda işverene önerilerde bulunmak ve takibini yapmak.,İşyerinde iş sağlığı ve güvenliği mevzuatı gereği yapılması gereken periyodik bakım, kontrol ve ölçümleri planlamak ve uygulamalarını kontrol etmek.,İşyerinde doğal afet, kaza, yangın veya patlama gibi durumlar için acil durum eylem planlarının hazırlanması çalışmalarına katılmak, periyodik eğitimlerin ve tatbikatların yapılmasını sağlamak,,Çalışanların iş sağlığı ve güvenliği eğitimlerinin ilgili mevzuata uygun olarak planlanması konusunda çalışma yaparak işverenin onayına sunmak ve uygulamalarını yapmak veya kontrol etmek.,Çalışma ortamıyla ilgili iş sağlığı ve güvenliği çalışmaları ve çalışma ortamı gözetim sonuçlarının kaydedildiği yıllık değerlendirme raporunu işyeri hekimi ile işbirliği halinde hazırlamak.,İş sağlığı ve güvenliği talimatları ile çalışma izin prosedürlerini hazırlayarak işverenin onayına sunmak ve uygulamasını kontrol etmek.,Taşeron/Alt taşeronların İSG performansını iyileştirmeye yönelik çalışmalarda bulunmak ve rehberlik etmek, İSG açısından taşeron/alt taşeron yönetiminden sorumlu olmak",İş Güvenliği Uzmanı (B Sınıfı),is_guvenlik_ve_saglik,,,Lignadecor Üretim ve Pazarlama A.Ş.,
,,,"GENERAL QUALIFICATIONS AND JOB DESCRIPTION,We searching for  HSE Chief to be recruited in our Africa based projects,,Bachelor’s Degree in Engineering preferably in Civil Engineering or Environmental Engineering,,No obstacle for travelling to African countries,,Minimum 5 years of post-graduate experience,,Have experience in high floor buıildings,,Possess an in-depth knowledge of HSE standards, and government policies and procedures,,Effective in building good working relationships with Client, Subcontractors and Project Team members,,Knowledge of Integrated Management Systems (ISO 9001, ISO 14001 & OHSAS 18001),,Qualification in NEBOSH & IOSH and B Class and above B class Occupational Health and Safety Certificate,,JOB DESCRIPTION,Advise, guide and support managers in the implementation of Health & Safety practices both on site and within the office environment. Ensure training programs are developed, modified and implemented as required,,Prepare and develop the overall project HSE Plan and effectively monitor adherence to HSE guidelines, policies and procedures during the project lifecycle,,Conduct daily and weekly HSE site inspections,,Prepare and maintain relevant HSE logs and documentation,,Ensure that appropriate Health and Safety training is delivered,,Monitor policies and procedures and report any areas where improvement is required,,Review HSE violations and monitor trends, and provide advice to close HSE violations,,Responsible that employment medical check-ups are carried out properly and workers are medically fit before they are deputed on the job site, as required by the client.",QHSE CHIEF,is_guvenlik_ve_saglik,,,VKS Mühendislik ve İnşaat A.Ş.,
,,,"GENEL NİTELİKLER,En az ilkokul mezunu, ,Ameliyathane yardımcı sağlık personeli / hasta bakımı pozisyonunda en az 1 yıl deneyimli,,Vardiyalı sistemde çalışabilecek, ,Kişisel bakımına özen gösteren, ,Hastaların kişisel bakımıyla ilgilenecek ,Ekip çalışmasına uyumlu ,İŞ TANIMI,Hasta transferlerinde hastaların taşınmasına yardım edilmesi, ,Hasta bakımı, pozisyon değişimi sırasında hemşireye destek verilmesi. ,‘’Hasta Bakıcısı’’",Yardımcı Sağlık Personeli,is_guvenlik_ve_saglik,,,İstanbul Medipol Üniversitesi,
,,,"GENEL NİTELİKLER,En az ilkokul mezunu, ,Ameliyathane yardımcı sağlık personeli / hasta bakımı pozisyonunda en az 1 yıl deneyimli,,Vardiyalı sistemde çalışabilecek, ,Kişisel bakımına özen gösteren, ,Hastaların kişisel bakımıyla ilgilenecek ,Ekip çalışmasına uyumlu ,İŞ TANIMI,Hasta transferlerinde hastaların taşınmasına yardım edilmesi, ,Hasta bakımı, pozisyon değişimi sırasında hemşireye destek verilmesi. ,‘’Hasta Bakıcısı’’",Yardımcı Sağlık Personeli,is_guvenlik_ve_saglik,,,İstanbul Medipol Üniversitesi,
,,Üniversite(Mezun),"İŞ GÜVENLİĞİ UZMANI,· Hizmet verilen fabrikalarda görevlendirilmek üzere,,· Üniversitelerin mühendislik bölümlerinden mezun,,· A,B, veya C sınıfı iş güvenliği uzmanlığı belgesine sahip,· MS Office programlarını iyi derecede kullanabilen,,· Mevzuat, yönetmelik ve saha uygulamalarına hakim,,· Çalışanlara eğitim verebilecek,,· Sorumluluk sahibi,,· Risk değerlendirme metodolojilerine hakim,,· İzmir’de ikamet eden veya edebilecek,,· Sürücü belgesine sahip ve aktif olarak araç kullanabilen,,· En az 2 yıl deneyimli,,(Not: Lütfen belge sınıfınızı ön yazı ile belirtiniz. A, B ve C sınıfı her branştan adaylar değerlendirilecektir.),İŞ TANIMI,· Aylık kurul toplantılarının düzenlenmesi,,· Risk analizi ve acil eylem planı çalışmalarının yürütülmesi,,· İş Sağlığı ve Güvenliği eğitimlerinin verilmesi,,· Sahada İSG denetimlerinin düzenlenerek raporlanması,,· İSG mevzuatı gereğince yapılması gereken yasal yükümlülüklerin yerine getirilmesi",İş Güvenliği Uzmanı,is_guvenlik_ve_saglik,,,Efe Ortak Sağlık Birimi Ltd.Şti,Tecrübeli ya da tecrübesiz adaylar
Sürekli / Tam zamanlı,Üretim / İmalat,,"Kocaeli Fabrikamız İş Güvenliği birimimiz için 6 ay dönemsel çalışacak İŞ GÜVENLİĞİ UZMANI aranmaktadır.,GENEL NİTELİKLER,Üniversitelerin  tercihen mühendislik fakültelerinden mezun,Ağır ve Tehlikeli işler kapsamındaki işletmelerde en az 3-5 yıl tecrübesi bulunan,Tercihen İngilizce bilen,B Sınıfı İş Güvenliği sertifikasına sahip,İş Sağlığı ve Güvenliği konularında yasal mevzuata hakim,Saha denetim süreçlerinde aktif olarak görev alabilecek,Analitik düşünebilen,MS Office programlarına hakim,Ekip çalışmasına yatkın,İletişim yönü kuvvetli,İŞ TANIMI,Risk analizi ve acil eylem planı çalışmalarının yürütülmesi,Sahada iş güvenliği denetimlerinin düzenlenerek raporlanması,İSG mevzuatı gereğince yapılması gereken yasal yükümlülüklerin yerine getirilmesi,Kaza öncesi önleyici çalışmaların sağlanması, kaza sonrası kök neden analizlerinin gerçekleştirilmesi,Aksiyon planlarının takip edilip tamamlanması",İŞ GÜVENLİĞİ UZMANI-DÖNEMSEL,is_guvenlik_ve_saglik,Kocaeli(İzmit),Üretim / Endüstriyel Ürünler,POSCO ASSAN TST ÇELİK SANAYİ A.Ş.,En az 3 yıl tecrübeli adaylar
,,,"Projelerimizde görevlendirilmek üzere aşağıdaki niteliklerde ,""İş Güvenliği Uzmanları"", aramaktayız.,Tercihen yüksek katlı bina, üst yapı projelerine yönelik risk değerlendirmesi ve saha uygulamaları çalışmalarına katılmış,,C İSG Uzmanı için 3 yıl, B İSG Uzmanı için 5 yıl deneyimli,,İlgili sınıfın İş Güvenliği Uzmanlığı Sertifikası olan ve aktif olarak kullanabilen,,İş sağlığı ve güvenliği mevzuat ve yönetmeliklerine hakim,,İş Sağlığı ve Güvenliği konularında çalışanlara gerekli eğitimleri verebilecek,,Günlük iş güvenliği ve çevre saha denetimlerini yapıp raporlayabilecek,,ISO 14001, OHSAS 18001 ve ISO 9001 yönetim sistemleri uygulamaları hakkında bilgi sahibi,,MS Office programlarına ve bilgisayar kullanımına iyi derecede hâkim, gerekli raporlamaları bilgisayar ortamında yapabilen,,İnsan ilişkileri ve iletişimi kuvvetli, iyi organize olabilen ve sonuç odaklı çalışabilen,,Erkekler adaylar için ,askerlik hizmetini tamamlamış.",İş Güvenliği Uzmanı,is_guvenlik_ve_saglik,,,AIR CLINIC İŞ GÜVENLİĞİ HİZMETLERİ LTD. ŞTİ.,
,,,"OSGB ’miz bünyesinde görevlendirilmek üzere aşağıdaki özelliklere sahip,“ B ve/veya A Sınıfı İş Güvenliği Uzmanı arayışımız bulunmaktadır.   ,Üniversitelerin ilgili bölümlerinden mezun, ,ÇSGB onaylı B veya A Sınıfı İş Güvenliği Uzmanı sertifikasına sahip,,İSG mevzuatı ve yönetmeliklere hakim,,Ekip çalışmasına yatkın, disiplinli ve sorumluluk sahibi,,İnsan ilişkilerinde başarılı, güler yüzlü, hızlı ve doğru karar verme yetisine sahip,,Analitik bakış açısına ve hızlı problem çözme yeteneğine sahip, ,Erkek adaylar için askerliğini tamamlamış.,NİTELİKLER;,• İSG Kapsamındaki tüm kanun ve yönetmelikleri takip ederek, kanun ve yönetmelikler doğrultusunda gerekli çalışmaları yapmak ve yapılmasını sağlamak,, • İşveren ile koordineli çalışarak, risk analizi yapmak , acil durum eylem planı oluşturmak, İSG eğitimleri vermek, ,• Firma içi gerekli prosedürleri yerine getirmek, güncellemek ve uygulanmasını sağlamak, ,• Gerekli bildirim ve raporlama süreçlerini oluşturmak, ,• Saha kontrollerini gerçekleştirerek sonuçları raporlamak ve takip etmek.",İş Güvenliği Uzmanı,is_guvenlik_ve_saglik,,,Szutest Uygunluk Değerlendirme A.Ş.,
,,,"Eğitim verme tecrübesine sahip, , Takım çalışmasına yatkın, ,İletişim becerileri güçlü, ,Planlama ve raporlama becerileri gelişmiş, , Ms Office iyi derecede kullanabilen, , İnsan ilişkilerinde başarılı, İletişim becerileri yüksek, , İş sağlığı ve güvenliği ile ilgili yasal mevzuatlara hakim, saha uygulamaları konusunda deneyimli, , Aktif araç kullanabilen İş Güvenliği Uzmanları aramaktayız. , Sorumluluğunu taşıdığı projelerde işyerinin bütün bölümlerinde, iş sağlığı ve güvenliği mevzuatına ve genel iş güvenliği kurallarına uygun olarak faaliyetlerin yürütülmesini sağlamak, iş güvenliği ile ilgili faaliyetlerin takibini yapmak, , Görevi gereği işyerinin bütün bölümlerinde iş sağlığı ve güvenliği konusunda inceleme ve araştırma yapmak, gerekli bilgi ve belgelere ulaşmak ve çalışanlarla görüşmek, , Hizmet vermiş olduğu firmalara yönelik iş güvenliği eğitimi, risk değerlendirme, acil durum planı ve danışmanlık hizmetlerini yürütmek, Risk değerlendirme sonuçlarını da dikkate alarak, ani veya yakın tehlike durumları ve kazaların potansiyelini tanımlayan ve bunlara ilişkin risklerin nasıl önleneceğini gösteren acil durum planlarını hazırlamak.",İş Güvenliği Uzmanı,is_guvenlik_ve_saglik,,,ERAT İŞ SAĞLIĞI VE GÜVENLİĞİ DEN.EĞT.DAN.TİC.LTD,
,,,"Tez Medikal Ortak Sağlık ve Güvenlik Birimi olarak, şirketlerin özel sağlık ve güvenlik planı ihtiyaçlarına uygun, ilerici ve kalıcı çözümler üretmek konusunda önemli deneyim, bilgi ve birikimini barındıran, insan hayatının dünyadaki tartışmasız en değerli unsuru olması ilkesine bağlı Türkiye’nin lider OSGB’sidir.,Genel müdürlük ekibi ile toplam sayısı günden güne artmakta olan, 1000’in üzerinde deneyimli, nitelikli kadrosu ve iş sağlığı güvenliği ekibi ile Türkiye’nin 81 ilinde eş zamanlı ve koordineli bir sistem içerisinde İş Sağlığı ve Güvenliği hizmetlerini sunmaktadır. Tüm tehlike sınıflarına uygun hizmet verebilme kapasitesinde olan, Türkiye’nin önde gelen holding ve büyük ölçekli firmalarının çözüm ortağı olma başarısına sahip tek OSGB şirketidir.,Şirketlerin faaliyet alanlarına yönelik; hava, deniz, yat limanı, tershane, kampüs, sanayi kompleksi, banka, alışveriş merkezleri ve bir çok yoğun yaşam alanlarında iş sağlığı ve güvenliği hizmetlerinde, kapasitelerine uygun ve sunduğu hizmet çeşitlilikleri ile yerinde, etkin ve kalıcı çözümler sunan sürdürülebilir hizmet anlayışına sahip lider markaların tercih ettiği bir OSGB şirketidir.,İzmir'de hizmet verdiğimiz firmamızda görevlendirmek üzere;,Görev Tanımı,İş Sağlığı ve Güvenliği ile ilgili ulusal ve uluslararası mevzuat ve standartlar ile şirket içi standartlar doğrultusunda tüm gerekliliklerin gerçekleştirilmesi, mevcut sistem uygulamalarının geliştirilmesi,,6331 sayılı İş Sağlığı ve Güvenliği Kanunu, İş Güvenliği Uzmanlarının Görev, Yetki ve Sorumlulukları Hakkında Yönetmelik ve ilgili diğer mevzuatlar kapsamındaki tüm görevlerin gerçekleştirilmesi (Rehberlik, Risk Değerlendirme, Çalışma Ortamı Gözetimi, Eğitim-Bilgilendirme-Kayıt, İlgili Birimlerle İşbirliği vb.) ve tüm bu çalışmaların takip edilmesi, raporlanması,,İSG kültürünü arttırıcı faaliyetlerin gerçekleştirilmesi,,İşyeri Hekimi ve Diğer Sağlık Personelleri ile koordineli çalışılması,,İş Sağlığı ve Güvenliği ile ilgili yapılan çalışmaların datalarının İSG Yazılımına kaydının yapılması,,Genel Nitelikler,Üniversitelerin Mühendislik fakültelerinden mezun (Tercihen Kimya Mühendisliği, Makine Mühendisliği, İnşaat Mühendisliği, Çevre Mühendisliği, Metalürji Mühendisliği)·,A/B Sınıfı İş Güvenliği Uzmanlık sertifikasına sahip,,İş Sağlığı ve Güvenliği ile ilgili mevzuat gerekliliklere hâkim ve bu doğrultudaki tüm uygulamaları gerçekleştirebilen,,Saha uygulamalarında aktif görev yapabilecek,,Endüstriyel tesislerde görev almış,,Patlamadan korunma dokümanı hazırlama eğitimini almış,,Yangın söndürme eğitimlerini tamamlamış,,Kimyasal risk değerlendirmesi bilgisine vakıf,,MS Office programlarını etkin kullanabilen,,Çözüm odaklı, analitik düşünebilen, planlama, organizasyon ve problem çözme konularında etkin, takım çalışmasına yatkın,",İş Güvenliği Uzmanı,is_guvenlik_ve_saglik,,,Tez Medikal Sağlık Turizm A.Ş,
,,,"Tez Medikal Ortak Sağlık ve Güvenlik Birimi olarak, şirketlerin özel sağlık ve güvenlik planı ihtiyaçlarına uygun, ilerici ve kalıcı çözümler üretmek konusunda önemli deneyim, bilgi ve birikimini barındıran, insan hayatının dünyadaki tartışmasız en değerli unsuru olması ilkesine bağlı Türkiye’nin lider OSGB’sidir. ,Genel müdürlük ekibi ile toplam sayısı günden güne artmakta olan, 1000’in üzerinde deneyimli, nitelikli kadrosu ve iş sağlığı güvenliği ekibi ile Türkiye’nin 81 ilinde eş zamanlı ve koordineli bir sistem içerisinde İş Sağlığı ve Güvenliği hizmetlerini sunmaktadır. Tüm tehlike sınıflarına uygun hizmet verebilme kapasitesinde olan, Türkiye’nin önde gelen holding ve büyük ölçekli firmalarının çözüm ortağı olma başarısına sahip tek OSGB şirketidir. ,Şirketlerin faaliyet alanlarına yönelik; hava, deniz, yat limanı, tershane, kampüs, sanayi kompleksi, banka, alışveriş merkezleri ve bir çok yoğun yaşam alanlarında iş sağlığı ve güvenliği hizmetlerinde, kapasitelerine uygun ve sunduğu hizmet çeşitlilikleri ile yerinde, etkin ve kalıcı çözümler sunan sürdürülebilir hizmet anlayışına sahip lider markaların tercih ettiği bir OSGB şirketidir. , Genel Nitelikler,• Üniversitelerin Mühendislik bölümlerinden mezun,,• A/B Sınıfı İş Güvenliği Uzmanlık sertifikasına sahip,,• Rafineri, Petrokimya, Kimya İşleyen fabrika tecrübesi bulunan,,• Tercihen Nebosh, Iosh Sertifikası bulunan,,• Tercihen İngilizce bilen,,• Erkek adaylar için askerliğini tamamlamış,• İş izni, kapalı alan, yüksekte çalışma ve İskele tecrübeli ve sertifikalı,• Endüstriyel montaj ve bakım tecrübeli,• Tercihen Patlamadan Korunma Dökümanı Sertifikası ve bilgisi olan,,• Çözüm odaklı, analitik düşünebilen, planlama, organizasyon ve problem çözme konularında etkin, takım çalışmasına yatkın,Görev Tanımı,• İş Sağlığı ve Güvenliği ile ilgili ulusal ve uluslararası mevzuat ve standartlar ile şirket içi standartlar doğrultusunda tüm gerekliliklerin gerçekleştirilmesi, mevcut sistem uygulamalarının geliştirilmesi,• 6331 sayılı İş Sağlığı ve Güvenliği Kanunu, İş Güvenliği Uzmanlarının Görev, Yetki ve Sorumlulukları Hakkında Yönetmelik ve ilgili diğer mevzuatlar kapsamındaki tüm görevlerin gerçekleştirilmesi (Rehberlik, Risk Değerlendirme, Çalışma Ortamı Gözetimi, Eğitim-Bilgilendirme-Kayıt, İlgili Birimlerle İşbirliği vb.) ve tüm bu çalışmaların takip edilmesi, raporlanması,• İSG kültürünü arttırıcı faaliyetlerin gerçekleştirilmesi,• İşyeri Hekimi ve Diğer Sağlık Personelleri ile koordineli çalışılması,• İş Sağlığı ve Güvenliği ile ilgili yapılan çalışmaların datalarının İSG Yazılımına kaydının yapılması,"" Genel Niteliklerde bulunan ,kriterlere sahip adayların, başvurularını bekliyoruz.",İş Güvenliği Uzmanı,is_guvenlik_ve_saglik,,,Tez Medikal Sağlık Turizm A.Ş,
,,,"·,        ,İstanbul Başakşehir Şehir Hastanesi Projesinde görevlendirilmek üzere,,·,        ,Üniversitelerin ilgili bölümlerinden mezun,,·,        ,MS Office uygulamalarına hakim,,·,        ,İstanbul Başakşehir’de ikamet eden / edebilecek, Başakşehir’e ulaşım problemi olmayan (Yenibosna Metro – Fatih Cad. – Özel Halkalı Kent Hastanesi – Konut Birlik Sitesi – Tema Park Güzergâhında servisimiz vardır.),,·,        ,Yoğun iş temposuna uyum sağlayabilecek,,·,        ,İletişim becerileri güçlü,,·,        ,Ekip çalışmasına yatkın,,·,        ,İSG Teknikeri ya da C Sınıfı İş Güvenliği Uzmanı alınacaktır.,İş Tanımı, ,·,        ,Birim şefi ve İSG Koordinatör ile koordineli çalışarak alınacak tedbirler ile ilgili önerilerde bulunmak ve uygulamanın takibini yapmak, ,·,        ,Gün boyunca sahada kalarak saha denetimlerini yapmak, eksiklikleri ilgili birimlere bildirmek, takibini sağlamak,,·,        ,Günlük toolbox konuşmalarını ve saha içi anlık eğitimleri organize etmek, gerçekleştirmek, kayıt altına almak,,·,        ,Uygunsuzluğu tespit edilen çalışanların uygunsuzluk tutanaklarını tutmak ve eğitimlerini vermek,,·,        ,Makine ve ekipman kontrollerini yapmak, periyodik kontrol sürelerini takip etmek,,·,        ,Elektrikli ekipman kontrollerini yaparak eksik olanların aylık renk kodlamalarını yaptırmak, arızalı olanların kullanımını engellemek,,·,        ,İskele ve merdivenlerin kontrollerinin yetkili kişilerce yapılmasını sağlamak, eksiklerinin giderilmesi konusunda takipçi olmak,,·,        ,Yaşam hatlarının ve emniyet kemerlerinin kontrollerini yapmak,,·,        ,Şaft çalışmaları ve kritik çalışmaları yerinde takip etmek,,·,        ,Ana firma tarafından açılan uygunsuzlukların giderilmesini sağlamak ve tekrarlanmaması konusunda takipçi olmak,",İş Güvenliği Uzmanı / Teknikeri,is_guvenlik_ve_saglik,,,MEKATRONİK İNŞ.TUR.MÜH.OTO TAR.GID.İTH.İHR.SAN.VE TİC.LTD.ŞT,
,,,"Tekirdağ /Muratlı ‘daki Prefabrik üretim tesisimizde çalıştırılmak üzere ,,C sınıfı iş güvenliği uzman sertifikasına sahip takım arkadaşları aramaktayız.,İş güvenliği alanında deneyimli,, ,Tekirdağ’da ikamet eden,, ,İş Sağlığı ve Güvenliği mevzuatına hakim,, ,MS Ofis programlarını temel seviyede kullanabilen,,İletişim becerileri yüksek, ekip çalışmasına yatkın,,Askerliğini tamamlamış,, ",İŞ GÜVENLİĞİ UZMANI,is_guvenlik_ve_saglik,,,ALACEG,
Sürekli / Tam zamanlı,Hizmet,"Ön Lisans(Mezun), Üniversite(Mezun), Yüksek Lisans(Mezun)","İstanbul Anadolu ve Avrupa yakasında bulunan çeşitli projelerde görevlendirilmek üzere,,İş sağlığı ve güvenliği sektöründen en az 1,5 yıl tecrübesi bulunan,,Saha ve dokümantasyon konusuna hakim,,İletişim becerileri yüksek,,Takım çalışmasına yatkın,,Araştırma-geliştirme becerileri yüksek, kendini geliştirmeye açık,,Erkek adaylar için askerlik engeli bulunmayan,,Çalıştığı firmada devamlı çalışma arzusu olan,,İş Güvenliği Uzmanı (A/B/C) çalışma arkadaşları aramaktayız.",İş Güvenliği Uzmanı,is_guvenlik_ve_saglik,,İş Güvenliği ve Sağlığı,DRUZ İŞ SAĞLIĞI VE GÜVENLİGİ HİZMET EĞİTİM,1 - 2 yıl tecrübeli adaylar
Sürekli / Tam zamanlı,Hizmet,,"*A veya B Sınıfı İş Güvenliği Uzmanı sertifikasına sahip,,*Tercihen üniversitelerin Mühendislik Fakültelerinden mezun,,*İş Sağlığı ve Güvenliği kapsamında güncel kanun ve yönetmeliklere hakim,,*Raporlama ve takip disiplinine sahip,,*İnsan ilişkilerinde başarılı,,*Diksiyonu düzgün ve kendisini iyi ifade edebilen,,*Tercihen OSGB tecrübesine sahip olan,,*Erkek adaylar için askerlikle ilişkisi olmayan,,*Sürücü ehliyetine sahip ve aktif araç kullanabilen,,*İstanbul ilinde çalışabilecek,,adayların başvurmaları rica olunur.,İŞ TANIMI;,Grup Şirketlerimizden biri olan, Ortak Sağlık Güvenlik Birimi,'miz bünyesinde tam zamanlı olarak; İş Sağlığı ve Güvenliği mevzuat takibini yapmak, kurum içerisinde uygulamak ve denetlemek, ISG faaliyetlerini raporlamak. İşyerindeki tehlikeleri saptamak, risk değerlendirmesini yapmak, riskleri ortadan kaldırıcı önlemler almak ve uygulamak. Periyodik kontrol, bakım ve ölçümleri planlamak, ISG eğitimlerini belirlemek ve uygulamak",İş Güvenliği Uzmanı,is_guvenlik_ve_saglik,,Mühendislik Hizmetleri ,Almer Çevre Denetim Müş.Müh.İş Sağ. ve Güv. Proje ,Tecrübeli ya da tecrübesiz adaylar
Sürekli / Tam zamanlı,Hizmet,"Ön Lisans(Mezun), Üniversite(Mezun), Yüksek Lisans(Mezun)","Ekip çalışmasına uygun, ,Seyehat engeli olmayan, ,İş Güvenliği ve Sağlığı mevzuatına hakim, ,C sınıfı İş sağlığı ve güvenliği sertifikasına sahip,,Aktif araç kullanabilen, ,İnsan ilişkilerinde başarılı, ,Güleryüzlü, ,Hızlı ve doğru karar verebilme yetisine sahip, ,İngilizce bilen, ,Erkek adaylar için askerlik hizmetini tamamlamış ,İŞ TANIMI,6331 sayılı İş sağlığı ve güvenliği kanunu ve yönetmelikleri kapsamında çalışmaların yapılması,,Yapılan çalışmaların takibi ve devamlılığının sağlanması, ,Sirkülasyondan dolayı oluşan eksik eğitim ve periyodik muayenelerin takibi ve eksiklerin tamamlanması için ilgili kişilerle beraber planlamaların yapılması,,şirketin evrak ve dokumantasyon sistemine, prosedürlerine uygun çalışılması",C Sınıfı İş Güvenliği Uzmanı,is_guvenlik_ve_saglik,İstanbul(Asya),Hizmet ,ATALIAN GLOBAL SERVICES,En az 2 yıl tecrübeli adaylar
